Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Seraphine,Mage,SUPPORT,A,46.92,8.44,0.4997,0.7024,0.043,0.0128,2.43
Seraphine,Mage,ADC,B,42.7,1.19,0.5327,0.1626,0.009,0.0128,2.92
Seraphine,Mage,MID,C,39.07,-5.21,0.4818,0.1286,0.0077,0.0128,2.6
Sett,Fighter,TOP,God,79.84,-7.14,0.5054,0.8074,0.0763,0.0731,1.76
Sett,Fighter,SUPPORT,D,24.71,0,0.4696,0.1016,0.0077,0.0731,2.01
Shaco,Assassin,JUNGLE,S,62.57,0.71,0.5107,0.8329,0.0641,0.1727,2.74
Shaco,Assassin,SUPPORT,D,31.39,-9.86,0.488,0.1162,0.0095,0.1727,2.31
Shen,Tank,TOP,S,70.76,-3.98,0.5285,0.8642,0.0454,0.012,2.91
Shyvana,Fighter,JUNGLE,B,46.3,2.77,0.5098,0.8285,0.0243,0.0049,2.61
Shyvana,Fighter,TOP,C,38.23,6.56,0.5243,0.1395,0.0038,0.0049,2.12
Singed,Tank,MID,A,52.4,6.42,0.5615,0.1724,0.0041,0.0054,2.63
Singed,Tank,TOP,B,43,4.55,0.5131,0.6874,0.0182,0.0054,1.91
Sion,Tank,TOP,A,57.37,3.26,0.5066,0.8164,0.0489,0.0168,1.43
Sivir,Marksman,ADC,B,39.67,-4.51,0.5137,0.9551,0.0271,0.0056,2.46
Skarner,Fighter,JUNGLE,B,39.76,-4.15,0.4977,0.6983,0.0074,0.0016,2.76
Skarner,Fighter,TOP,D,29.02,4.51,0.483,0.2653,0.0025,0.0016,2.28
Sona,Support,SUPPORT,A,49.3,-4.01,0.5164,0.957,0.0357,0.0047,2.81
Soraka,Support,SUPPORT,S,64.72,9.02,0.5257,0.9209,0.0681,0.0441,2.73
Swain,Mage,MID,B,43.76,4.12,0.5151,0.1368,0.0039,0.0151,2.59
Swain,Mage,ADC,B,40.56,-6.39,0.5292,0.2033,0.0044,0.0139,2.89
Swain,Mage,SUPPORT,C,36.93,-4.41,0.4927,0.6137,0.0225,0.0139,2.34
Sylas,Mage,MID,S,60.76,2.1,0.5047,0.8052,0.0664,0.0388,2.14
Sylas,Mage,TOP,C,35.88,5.41,0.5,0.139,0.0113,0.0388,1.9
Syndra,Mage,MID,A,46.91,0.93,0.4898,0.8768,0.0335,0.0108,2.2
Tahm Kench,Support,TOP,A,50.46,10.39,0.519,0.4722,0.0208,0.035,2.47
Tahm Kench,Support,SUPPORT,C,37.69,-8.22,0.505,0.4407,0.016,0.035,2.47
Taliyah,Mage,JUNGLE,C,38.55,1.84,0.4927,0.6235,0.0113,0.0018,2.52
Taliyah,Mage,MID,C,37.81,-5.54,0.4925,0.1455,0.0029,0.0018,2.29
Taliyah,Mage,SUPPORT,C,33.76,-11.39,0.5188,0.1703,0.0029,0.0018,2.13
Talon,Assassin,MID,A,48.04,-0.29,0.5057,0.6541,0.0286,0.019,2.16
Talon,Assassin,JUNGLE,C,39.23,4.06,0.4954,0.307,0.0135,0.019,2.42
Taric,Support,SUPPORT,C,35.01,-9.54,0.4998,0.8398,0.0099,0.0014,2.68
Teemo,Marksman,TOP,S,69.89,-1.34,0.5138,0.781,0.0557,0.0989,1.71
Thresh,Support,SUPPORT,S,61.78,8.91,0.4677,0.9812,0.0954,0.0357,2.46
Tristana,Marksman,ADC,A,48.06,-3.33,0.5117,0.8641,0.0654,0.0324,2.31
Tristana,Marksman,MID,B,43.48,0,0.5224,0.102,0.0066,0.0324,2.11
Trundle,Fighter,JUNGLE,A,54.93,3.61,0.5347,0.6492,0.0339,0.0277,2.69
Trundle,Fighter,TOP,B,41.04,0.79,0.5167,0.309,0.0162,0.0277,1.65
Tryndamere,Fighter,TOP,God,93.24,0.26,0.5111,0.8564,0.0745,0.2617,1.8
Twisted Fate,Mage,MID,B,42.34,3.99,0.4764,0.896,0.0275,0.0042,2.17
Twitch,Marksman,ADC,A,50.33,-0.15,0.5188,0.8093,0.0656,0.0445,2.39
Udyr,Fighter,JUNGLE,B,43.75,3.72,0.5022,0.9247,0.0208,0.0062,2.61
Urgot,Fighter,TOP,A,56.03,-2.87,0.5235,0.9237,0.034,0.0246,1.96
Varus,Marksman,ADC,D,29.02,-9.74,0.476,0.8755,0.0239,0.0019,2.27
Vayne,Marksman,ADC,S,64.2,4.83,0.5173,0.8087,0.1114,0.1645,2.14
Vayne,Marksman,TOP,B,41.01,5.02,0.4966,0.1674,0.0216,0.1645,1.51
Veigar,Mage,MID,S,70.53,0.55,0.5234,0.7214,0.0786,0.0808,2.34
Veigar,Mage,ADC,B,44.46,-4.29,0.5412,0.1839,0.0189,0.0808,2.51
Vel'Koz,Mage,MID,B,43.73,-0.95,0.5068,0.3528,0.0088,0.0049,2.57
Vel'Koz,Mage,SUPPORT,C,35.85,-6.85,0.5026,0.5847,0.0164,0.0049,2.19
Vex,Mage,MID,S,61.92,-0.39,0.5016,0.9055,0.0641,0.098,2.35
Vi,Fighter,JUNGLE,A,54.12,0.93,0.523,0.935,0.0461,0.0172,2.37
Viego,Assassin,JUNGLE,S,69.98,-4.66,0.4945,0.9409,0.1118,0.0973,2.39
Viktor,Mage,MID,S,61.71,-2.81,0.5132,0.9096,0.0623,0.0474,2.25
Vladimir,Mage,MID,A,51.5,-1.88,0.5011,0.7531,0.0373,0.0553,2.33
Vladimir,Mage,TOP,C,34.57,3.55,0.4919,0.2253,0.0107,0.0553,2.01
Volibear,Fighter,JUNGLE,A,57.53,3.29,0.5265,0.5801,0.0474,0.0273,2.77
Volibear,Fighter,TOP,A,50.22,2.58,0.5017,0.393,0.0347,0.0273,1.8
Warwick,Fighter,JUNGLE,A,52.13,0.36,0.5023,0.7474,0.054,0.0546,2.19
Warwick,Fighter,TOP,C,37.38,7.53,0.5062,0.2313,0.0118,0.0546,1.84
Wukong,Fighter,TOP,B,41.67,1.32,0.507,0.7375,0.017,0.0055,2.02
Wukong,Fighter,JUNGLE,D,32.83,-1.86,0.4774,0.1573,0.0035,0.0059,2.47
Xayah,Marksman,ADC,B,45.9,-1.72,0.5071,0.9737,0.062,0.0097,2.34
Xerath,Mage,MID,A,50.14,-0.76,0.5071,0.3879,0.0216,0.0348,2.94
Xerath,Mage,SUPPORT,B,42.93,-4.3,0.4975,0.5545,0.0331,0.0348,2.45
Xin Zhao,Fighter,JUNGLE,A,50.25,-13.83,0.4907,0.9308,0.0563,0.0462,2.28
Yasuo,Fighter,MID,God,87.87,4.66,0.5065,0.672,0.1167,0.241,1.74
Yasuo,Fighter,TOP,A,47.3,9.99,0.4945,0.1687,0.0275,0.241,1.5
Yasuo,Fighter,ADC,C,37.87,-3.31,0.5153,0.1469,0.0242,0.241,1.98
Yone,Assassin,MID,S,71.64,0.72,0.5015,0.5809,0.0877,0.1866,1.85
Yone,Assassin,TOP,S,68.09,7.18,0.5074,0.3845,0.0523,0.1866,1.65
Yorick,Fighter,TOP,A,46.92,-2.61,0.5123,0.9533,0.0284,0.0298,1.52
Yuumi,Support,SUPPORT,God,94.15,25.4,0.4902,0.9859,0.1084,0.2629,4.09
Zac,Tank,JUNGLE,S,59.69,-0.75,0.5231,0.8295,0.0436,0.029,3.5
Zed,Assassin,MID,God,81.12,4.04,0.4989,0.6931,0.0841,0.3516,2.24
Zed,Assassin,JUNGLE,B,45.64,0.81,0.4819,0.2654,0.0298,0.3516,2.45
Zeri,Marksman,ADC,God,84.87,-1.79,0.4988,0.8977,0.1291,0.3993,2.34
Ziggs,Mage,MID,B,42.6,1.71,0.5063,0.2857,0.0089,0.0047,2.36
Ziggs,Mage,ADC,C,37.68,-5.39,0.5167,0.628,0.0186,0.0047,2.39
Zilean,Support,MID,A,51.26,0.89,0.5222,0.2403,0.0114,0.0382,3.28
Zilean,Support,SUPPORT,B,44.79,-2.95,0.4963,0.7097,0.0326,0.0382,2.91
Zoe,Mage,MID,A,49.45,2.36,0.4992,0.9132,0.031,0.0128,2.52
Zyra,Mage,SUPPORT,B,45.62,-2.42,0.5155,0.8915,0.0346,0.0212,2.11
